SIZE,AVERAGE,BEST,WORST
564,4117,4461,3687
685,5183,5648,4706
325,2103,2330,1878
216,1280,1405,1113
586,4284,4683,3878
245,1490,1638,1306
560,4052,4423,3671
995,8019,8656,7307
572,4150,4539,3761
393,2681,2914,2344
887,7022,7602,6401
558,4062,4411,3666
886,7017,7603,6368
838,6604,7133,5932
309,1967,2190,1752
543,3920,4264,3531
718,5466,5963,4964
172,961,1075,831
588,4303,4695,3887
193,1110,1228,968
122,621,693,534
700,5321,5789,4799
210,1241,1367,1086
350,2316,2549,2070
470,3311,3595,2978
238,1455,1583,1256
647,4829,5274,4357
474,3319,3627,3002
890,7088,7631,6392
303,1952,2134,1733
901,7190,7748,6554
115,591,644,501
763,5882,6396,5327
903,7183,7758,6523
692,5227,5709,4723
489,3434,3758,3086
986,7963,8575,7230
627,4670,5072,4219
37,124,144,102
80,365,407,307
380,2557,2811,2283
254,1563,1705,1372
420,2863,3159,2581
263,1618,1782,1437
108,546,593,459
224,1344,1467,1185
864,6837,7375,6167
348,2287,2529,2037
723,5532,6016,4985
308,1985,2175,1749
394,2693,2925,2378
162,902,995,776
905,7196,7760,6572
827,6478,7016,5853
957,7706,8286,7066
232,1390,1535,1239
56,225,255,187
367,2472,2694,2181
907,7220,7800,6547
106,502,585,448
165,910,1020,800
904,7192,7757,6519
624,4650,5045,4167
889,7059,7610,6428
321,2061,2278,1842
735,5650,6136,5081
438,3030,3315,2724
234,1388,1551,1242
994,8047,8645,7320
508,3620,3931,3231
592,4335,4737,3915
780,6025,6571,5457
775,6002,6522,5409
832,6532,7071,5891
79,339,402,297
296,1881,2065,1665
784,6043,6613,5479
512,3644,3953,3261
460,3224,3505,2887
118,597,665,512
873,6870,7454,6266
166,908,1029,798
510,3638,3941,3290
368,2461,2691,2193
865,6843,7392,6244
212,1238,1383,1091
6,7,9,4
867,6847,7412,6211
515,3671,3990,3303
314,2017,2231,1808
948,7591,8197,6951
11,24,24,13
709,5382,5874,4894
969,7773,8400,7102
58,227,265,198
839,6575,7138,5975
105,514,570,444
233,1417,1542,1242
982,7893,8537,7164
453,3135,3442,2830
574,4159,4557,3784
399,2714,2972,2427
148,800,889,693
771,5953,6488,5381
1,0,0,0
342,2239,2481,1994
51,188,226,167
68,291,325,245
346,2274,2511,2032
109,551,602,468
793,6182,6674,5584
155,842,942,741
407,2779,3042,2473
486,3411,3737,3092
665,4988,5434,4536
878,6956,7517,6318
759,5888,6358,5315
964,7774,8361,7043
596,4346,4775,3939
69,291,332,246
925,7434,7982,6784
858,6795,7321,6124
646,4888,5271,4352
471,3329,3596,2955
114,571,637,500
299,1928,2098,1679
327,2135,2344,1891
372,2498,2735,2231
502,3539,3875,3216
25,68,84,56
913,7291,7858,6632
484,3390,3717,3065
91,431,482,367
662,4980,5427,4482
683,5198,5620,4659
551,3992,4340,3579
575,4176,4574,3771
906,7220,7793,6544
965,7735,8366,7072
265,1648,1798,1448
95,446,510,379
722,5513,6003,4970
140,741,827,641
4,2,5,1
725,5552,6034,5022
993,8036,8636,7308
340,2227,2463,1965
465,3252,3540,2906
257,1594,1722,1386
595,4400,4766,3931
376,2520,2765,2243
632,4680,5111,4231
578,4189,4605,3806
536,3865,4179,3469
85,383,440,330
941,7585,8138,6922
851,6706,7260,6079
849,6666,7238,6076
749,5741,6266,5268
654,4885,5341,4440
283,1776,1958,1581
801,6208,6770,5654
54,214,243,180
297,1897,2072,1662
521,3732,4030,3332
498,3509,3839,3164
250,1515,1679,1342
396,2684,2947,2389
331,2182,2374,1915
681,5159,5598,4644
679,5134,5582,4627
255,1567,1714,1393
84,386,433,327
538,3876,4211,3478
49,188,214,152
655,4884,5356,4437
900,7142,7727,6515
618,4590,4985,4128
776,5992,6513,5405
691,5250,5698,4721
511,3635,3946,3269
936,7436,8077,6781
330,2141,2369,1912
815,6379,6910,5765
789,6107,6660,5582
371,2487,2730,2195
59,232,272,205
818,6444,6931,5790
971,7836,8426,7083
90,413,477,362
861,6813,7358,6212
479,3359,3676,3039
581,4249,4632,3844
194,1105,1241,968
877,6928,7510,6366
695,5295,5738,4765
199,1163,1282,1015
271,1695,1850,1509
696,5283,5749,4761
884,6998,7571,6353
92,436,485,375
328,2151,2339,1903
606,4495,4877,4032
71,294,348,257
584,4299,4645,3835
721,5518,5994,4976
708,5389,5869,4871
755,5886,6316,5259
919,7324,7916,6641
305,1943,2140,1728
636,4734,5163,4269
307,1966,2166,1751
638,4767,5181,4308
382,2573,2825,2316
897,7169,7708,6480
286,1782,1981,1606
698,5297,5767,4776
716,5469,5945,4927
791,6149,6686,5553
589,4329,4716,3914
862,6775,7367,6182
62,248,289,214
163,909,1002,789
464,3259,3537,2921
577,4194,4594,3780
769,5967,6464,5356
653,4898,5332,4434
802,6215,6777,5638
950,7610,8223,6922
29,87,100,72
844,6675,7189,5993
186,1054,1183,926
26,78,89,62
9,16,18,12
814,6374,6899,5762
373,2515,2750,2232
256,1577,1717,1387
813,6366,6888,5790
807,6280,6828,5693
953,7669,8242,6976
89,414,464,360
701,5293,5800,4848
354,2312,2579,2096
