SIZE,AVERAGE,BEST,WORST
82,1787,81,3321
409,39746,408,83436
999,246242,998,498501
742,131408,741,274911
874,197852,873,381501
170,7552,169,14365
308,24421,307,47278
466,52629,465,108345
516,63166,515,132870
932,213723,931,433846
48,623,47,1128
79,1468,78,3081
139,4801,138,9591
176,8201,175,15400
249,14937,248,30876
34,237,33,561
220,10922,219,24090
506,64698,505,127765
641,101653,640,205120
979,245771,978,478731
658,112418,657,216153
44,489,43,946
895,199618,894,400065
635,101526,634,201295
799,156104,798,318801
450,51640,449,101025
773,146859,772,298378
949,223469,948,449826
103,2995,102,5253
965,233556,964,465130
490,56033,489,119805
628,99616,627,196878
411,43362,410,84255
88,1900,87,3828
207,11003,206,21321
291,20031,290,42195
587,87732,586,171991
249,16017,248,30876
20,125,19,190
735,142710,734,269745
433,48686,432,93528
187,8708,186,17391
630,99285,629,198135
522,70659,521,135981
687,120970,686,235641
79,1614,78,3081
824,166502,823,339076
979,230231,978,478731
653,111112,652,212878
516,66349,515,132870
984,244036,983,483636
133,4824,132,8778
241,13534,240,28920
181,8392,180,16290
22,131,21,231
558,73654,557,155403
590,85409,589,173755
787,153434,786,309291
817,164166,816,333336
368,33113,367,67528
300,22107,299,44850
378,36709,377,71253
710,126910,709,251695
400,40004,399,79800
399,40610,398,79401
866,186572,865,374545
53,809,52,1378
324,29038,323,52326
331,29573,330,54615
394,39609,393,77421
148,5637,147,10878
909,199221,908,412686
287,19523,286,41041
600,94981,599,179700
651,104431,650,211575
561,78141,560,157080
304,22388,303,46056
147,5083,146,10731
961,236806,960,461280
159,6200,158,12561
649,107250,648,210276
862,184137,861,371091
228,13660,227,25878
89,2181,88,3916
429,47388,428,91806
688,114048,687,236328
775,153552,774,299925
319,24679,318,50721
641,104176,640,205120
680,115956,679,230860
802,156648,801,321201
207,11748,206,21321
980,234131,979,479710
713,128612,712,253828
78,1446,77,3003
789,157806,788,310866
107,2805,106,5671
688,113805,687,236328
474,60939,473,112101
360,34375,359,64620
892,203112,891,397386
318,25835,317,50403
376,32366,375,70500
901,197882,900,405450
468,49923,467,109278
361,32894,360,64980
93,2096,92,4278
963,231495,962,463203
227,13323,226,25651
747,139747,746,278631
511,67561,510,130305
835,176346,834,348195
713,119388,712,253828
798,161114,797,318003
468,54972,467,109278
649,107297,648,210276
583,83239,582,169653
379,36784,378,71631
267,18002,266,35511
881,189842,880,387640
594,90613,593,176121
891,200375,890,396495
832,175021,831,345696
350,31770,349,61075
592,88376,591,174936
36,393,35,630
100,2560,99,4950
753,145816,752,283128
36,305,35,630
177,8710,176,15576
143,5028,142,10153
189,8339,188,17766
863,182634,862,371953
56,849,55,1540
149,5643,148,11026
889,195422,888,394716
478,57778,477,114003
680,121108,679,230860
951,228904,950,451725
927,218577,926,429201
703,124994,702,246753
153,5818,152,11628
818,172871,817,334153
275,18583,274,37675
170,6809,169,14365
493,61261,492,121278
512,64844,511,130816
402,42516,401,80601
336,27571,335,56280
444,51217,443,98346
63,1109,62,1953
285,20691,284,40470
894,199809,893,399171
242,15483,241,29161
514,64899,513,131841
7,16,6,21
394,37843,393,77421
149,6092,148,11026
800,164035,799,319600
414,43108,413,85491
245,14609,244,29890
390,40284,389,75855
426,46675,425,90525
802,157563,801,321201
746,138558,745,277885
788,153322,787,310078
590,88696,589,173755
137,4561,136,9316
497,61485,496,123256
159,6254,158,12561
559,82147,558,155961
566,79779,565,159895
372,35317,371,69006
547,70046,546,149331
601,89513,600,180300
523,72202,522,136503
258,16727,257,33153
171,7404,170,14535
477,56617,476,113526
251,16209,250,31375
183,8301,182,16653
368,32896,367,67528
916,206078,915,419070
192,9018,191,18336
905,197680,904,409060
9,17,8,36
867,193263,866,375411
175,7678,174,15225
168,6722,167,14028
259,17428,258,33411
946,221498,945,446985
99,2634,98,4851
918,209450,917,420903
161,7026,160,12880
489,58349,488,119316
931,229781,930,432915
538,71869,537,144453
708,123489,707,250278
554,77638,553,153181
786,152976,785,308505
855,189714,854,365085
358,33962,357,63903
476,57770,475,113050
691,117523,690,238395
230,13262,229,26335
99,2655,98,4851
392,41464,391,76636
882,201103,881,388521
977,239765,976,476776
669,112127,668,223446
949,231857,948,449826
49,577,48,1176
899,204944,898,403651
195,10055,194,18915
39,404,38,741
603,91695,602,181503
62,1041,61,1891
494,59446,493,121771
535,72114,534,142845
688,116542,687,236328
849,176531,848,359976
711,124363,710,252405
183,7991,182,16653
248,17295,247,30628
291,20825,290,42195
265,18397,264,34980
303,21464,302,45753
989,238570,988,488566
221,12365,220,24310
803,158942,802,322003
982,241236,981,481671
503,62849,502,126253
951,228302,950,451725
760,149373,759,288420
355,30420,354,62835
353,31264,352,62128
722,136265,721,260281
275,20412,274,37675
306,23093,305,46665
257,17443,256,32896
439,48812,438,96141
789,158618,788,310866
190,9787,189,17955
321,27746,320,51360
318,23861,317,50403
208,11460,207,21528
190,9406,189,17955
58,962,57,1653
946,224113,945,446985
331,28686,330,54615
174,7808,173,15051
788,161378,787,310078
979,228658,978,478731
83,1779,82,3403
232,13290,231,26796
843,171403,842,354903
229,13179,228,26106
511,62489,510,130305
856,179549,855,365940
88,2058,87,3828
606,96215,605,183315
304,22248,303,46056
343,30146,342,58653
956,218060,955,456490
13,48,12,78
340,30756,339,57630
949,231178,948,449826
860,193707,859,369370
897,201969,896,401856
972,229754,971,471906
297,21299,296,43956
597,91202,596,177906
9,24,8,36
930,215043,929,431985
