SIZE,AVERAGE,BEST,WORST
19,58,37,45
505,3897,2250,2288
913,7830,4372,4647
522,4066,2329,2389
692,5679,3124,3464
630,5076,2815,3091
509,3940,2279,2299
213,1386,788,873
829,6997,3882,4213
731,6044,3341,3676
539,4216,2391,2514
403,2995,1675,1843
22,74,45,55
370,2693,1513,1675
704,5815,3200,3520
57,269,159,176
798,6702,3715,4039
716,5876,3256,3596
608,4890,2704,2960
760,6320,3524,3812
348,2515,1400,1568
561,4418,2483,2664
100,544,316,356
985,8579,4826,4985
970,8402,4727,4919
773,6417,3599,3880
108,591,348,388
443,3336,1885,2033
388,2869,1612,1756
131,760,453,470
699,5715,3165,3500
142,852,487,535
643,5197,2888,3161
92,484,284,324
351,2535,1417,1581
302,2123,1189,1319
658,5345,2951,3263
985,8590,4826,4985
987,8556,4840,4993
319,2260,1273,1405
575,4572,2553,2748
674,5476,3031,3359
56,256,156,172
199,1258,727,808
434,3252,1833,1995
538,4200,2387,2507
565,4462,2500,2691
7,12,9,11
11,26,17,22
912,7846,4368,4640
95,505,298,334
194,1234,709,781
250,1675,983,1011
985,8576,4826,4985
471,3611,2037,2161
490,3756,2151,2237
494,3809,2177,2251
855,7296,4021,4360
890,7645,4241,4525
850,7208,3993,4333
202,1303,739,823
96,511,304,336
516,3979,2312,2340
846,7184,3971,4311
171,1061,599,684
179,1131,635,720
941,8113,4538,4789
987,8585,4840,4993
930,8036,4473,4733
619,4969,2754,3031
18,54,35,41
976,8471,4768,4944
920,7906,4412,4684
428,3227,1800,1968
816,6880,3808,4144
114,634,375,409
366,2669,1491,1657
568,4485,2516,2708
645,5189,2895,3176
957,8291,4647,4856
218,1415,813,893
580,4591,2572,2784
868,7395,4100,4424
967,8374,4709,4904
700,5763,3172,3504
378,2757,1559,1709
856,7280,4028,4364
959,8288,4663,4862
302,2122,1189,1319
295,2066,1159,1279
403,3000,1675,1843
3,2,2,3
255,1720,1016,1023
216,1399,804,884
856,7274,4028,4364
599,4796,2654,2911
651,5292,2919,3218
141,834,483,530
953,8199,4618,4841
69,340,202,222
499,3841,2209,2269
654,5286,2933,3237
19,60,37,45
259,1750,1029,1049
