SIZE,AVERAGE,BEST,WORST
255,2372,2066,2317
315,2731,2504,2582
386,3216,4260,3605
671,6351,6849,7178
519,4939,4864,4775
513,4703,4389,4872
577,6062,5539,5618
681,7325,6864,7901
8,14,14,16
661,6695,7826,6854
314,2650,2653,2670
140,941,1124,1002
358,3203,3622,3352
63,356,290,327
743,7215,8131,7630
446,4010,3995,4002
814,8249,7773,8787
570,5304,5473,6484
91,528,509,545
296,2486,2813,2306
527,5885,5210,4859
16,52,48,60
415,3842,3798,3972
100,656,730,593
396,4070,4014,4512
4,4,4,6
858,8748,9123,9244
394,3207,3789,3617
694,6696,6994,6518
484,4646,4275,4636
752,7697,7942,7886
428,4245,4276,3628
211,1591,1609,1727
364,3295,3693,2993
247,2094,1998,2013
385,3489,3684,3045
685,7135,6499,6907
62,316,332,340
583,6298,6060,5506
194,1479,1614,1452
542,5680,4843,5468
745,7401,8349,7515
738,7423,7699,8045
154,1097,1136,1122
736,8106,8171,7197
444,3917,4239,4396
341,2741,3340,2960
181,1527,1328,1606
470,4722,4257,4375
433,4087,4270,3962
434,4006,4322,4458
279,2128,2355,2580
461,4143,4017,4565
497,4669,4786,4887
216,1767,1769,1735
689,8125,7155,7847
143,1088,990,976
762,7666,9533,7582
604,5327,5642,6127
646,7470,5856,6721
400,3663,3511,3672
886,8744,9597,8765
443,3722,4362,4222
390,3243,3520,3807
354,3182,3007,3223
48,254,239,288
800,8780,7810,8986
223,1822,2016,1793
170,1341,1115,1422
157,1063,1097,1176
404,3467,3375,3912
566,5345,4868,5040
621,5587,5624,6254
71,402,382,406
900,10359,9530,9245
276,2110,2227,2187
543,4765,5085,5174
627,6016,6859,6099
610,5719,6384,6217
668,6984,6801,6562
839,8567,9451,9690
794,7649,7948,8635
106,672,760,707
229,2016,1740,2029
512,4848,4799,4801
805,8272,8914,9088
851,8080,9004,9036
541,5511,5042,5627
196,1750,1522,1403
706,7838,7157,7010
837,8110,8167,8542
29,117,112,129
377,3365,3529,3624
344,3074,3175,3073
187,1551,1415,1412
766,7947,7769,8967
226,1913,1858,1787
184,1296,1633,1433
307,2626,2831,3097
797,8815,8402,8154
419,3896,3836,3599
368,3697,2962,3301
711,8166,7053,6843
761,8585,7090,8822
410,3806,4225,3830
379,3312,3270,3683
615,6490,5718,6188
95,595,566,597
336,2707,3237,3106
249,1995,2043,1994
118,803,884,810
449,4291,4785,4100
842,8565,8505,9037
545,5716,6095,5254
696,6443,7053,7783
781,7867,7823,7477
890,9200,9499,10765
628,6031,6076,6870
481,4724,4732,4389
843,8998,8495,8873
335,3093,2856,2753
220,1811,1678,1724
777,8128,7813,7898
149,1018,1057,1044
266,2235,2473,1922
128,800,908,867
10,31,24,21
240,1803,1912,1978
303,2545,2655,2516
648,7356,6234,6798
137,984,1077,1124
37,196,165,156
876,8738,10891,9901
547,5348,5333,5741
684,6819,6859,6722
804,7452,8243,7833
817,8495,8756,7892
221,1700,1854,2086
771,8300,8630,7584
452,4118,4697,4179
536,5500,5064,5583
465,4187,4084,4543
225,1777,1701,1755
420,4145,4035,3763
281,2520,2280,2228
352,3162,3121,2828
59,314,329,291
87,639,513,506
202,1548,1641,1427
823,8479,8684,8651
474,4488,4782,4728
192,1563,1432,1354
695,7362,7594,7496
